Company;Title;Overflow;Link
jobcart;Специалист по парсерам;"Вакансия компании ""MARPLA"" МARketPLAce - Сервис анализа поисковых запросов на Wildberries. Обязанности: Разработка и сопровождение парсера для сбора данных с маркетплейса Wildberries. Требования: Положительный опыт работы в команде; Выходить во внерабочее время (при необходимости), для устранения критических…";https://www.rabota.ru//vacancy/47927785/?search_id=1687311593199tbe2xmrv7bb
МГТС, ПАО;Программист (стажер);"Автоматизация пользовательских сервисов с применением СУБД и web-сервисов. Требования: навыки работы с технической документацией; навыки работы с базами данных; навыки работы с одним или несколькими языками программирования: Python (один из фреймворков: Django, Flask, FastAPI), SQL, HTML, JavaScript…";https://www.rabota.ru//vacancy/47998734/?search_id=1687311593199tbe2xmrv7bb
М Тех;Тестировщик;"Нам, как растущей ИТ компании, нужны тестировщики; Требования: Опыт ручного/нагрузочного/веб и мобильного тестирования 1-2 года. Опыт автоматизации тестирования на Java, C# или Python от 6 месяцев. Опыт тестирования API. Практический опыт применения практик тест-дизайна. Рабочие знания микросервисной…";https://www.rabota.ru//vacancy/47805527/?search_id=1687311593199tbe2xmrv7bb
ИП Гусев С.О.;Python-разработчик (удаленно) — Сайты и боты;Описание вакансии: Мы ищем опытного Python-разработчика для работы над проектами различной сложности, в том числе для интеграции платёжной системы https://tegro.money для различных CMS. Эта позиция предполагает работу полностью удаленно, поэтому кандидат должен быть ответственным, самодисциплинированным…;https://www.rabota.ru//vacancy/47900956/?search_id=1687311593199tbe2xmrv7bb
ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ДЖУРЯН АРТЕМ АШОТОВИЧ;Специалист по контекстной рекламе;Ищем волшебника в сфере контекста. Мы небольшое digital-агентство, специализирующееся на создании сайтов на Python Flask, Tilda и WP. Так же есть несколько офлайн-бизнесов. На все нужна реклама, а классных специалистов, к сожалению, не так много. Хотим видеть в команде человека с четким пониманием…;https://www.rabota.ru//vacancy/47979802/?search_id=1687311593199tbe2xmrv7bb
Sokrat;Программист;"Разработка маркетплейса Sokrat и мобильного приложения Sokrat (Резидент Иннополис). Работа в команде; Взаимодействие с менеджером проекта; Разработка модулей маркетплейса; Работа с API; Верстка; Также приглашаем менеджеров по продажам, если у вас друзья ищут работу в этой позиции, будем рады, если порекомендуете…";https://www.rabota.ru//vacancy/46889751/?search_id=1687311593199tbe2xmrv7bb
СБЕР;DevOps инженер;СберНадежность - подразделение, отвечающее за повышение надежности и доступности ключевых сервисов Сбербанка. Мы разрабатываем технологические стандарты в соответствии с лучшими мировыми практиками и следим за их выполнением. Сочетание налаженных технологических и бизнес-процессов позволяет нам системно…;https://www.rabota.ru//vacancy/47904851/?search_id=1687311593199tbe2xmrv7bb
Softline, группа компаний;Инженер Kubernetes;Вакансия актуальна для РФ: работа возможна в любом офисе компании либо удаленно. Компания Softline является аккредитованной IT-компанией. О проекте: Компания Softline предлагает присоединиться к команде RnD по созданию и развитию продуктов на базе открытых решений и российского программного обеспечения…;https://www.rabota.ru//vacancy/47911332/?search_id=1687311593199tbe2xmrv7bb
"ООО ""АРХИ-ПРО""";Программист, разработчик nuxt/python;"Выполнять ТЗ близко к 95 % задачи; в срок; стек описан в требованиях; Требования; Ищем разработчика умеющего работать с: ubuntu 22; node js; mysql; phpmyadmin; redis; nuxt; vue; node; typescript; yarn; И / ИЛИ; python; Условия: Достойная оплата; Кадровый ЭДО; Тестовое задание; Удаленная работа;";https://www.rabota.ru//vacancy/47454864/?search_id=1687311593199tbe2xmrv7bb
Jobers;WEB-разработчик;"Вакансия компании: ООО ""ОПТСЕРВИС"" INGA technology – команда профессионалов, работающая над разработкой решений в сфере искусственного интеллекта, которую проивестировали американские фонды в 2019 году. Приглашает на работу опытных веб-разработчиков от уровня middle. INGA technology- является одним…";https://www.rabota.ru//vacancy/48031272/?search_id=1687311593199tbe2xmrv7bb
jobcart;Инженер-оператор БПЛА;"Вакансия компании ООО ""ПРОМ КОМПОЗИТ"" ООО «Пром Композит» - компания, специализирующаяся на проектировании и производстве изделий из композиционных материалов горячим формованием и изготовлении оснастки, в том числе с применением метода вакуумной инфузии. Компания является дочерним предприятием второго…";https://www.rabota.ru//vacancy/47947995/?search_id=1687311593199tbe2xmrv7bb
М Тех;ETL-разработчик;"Мы в поиске ETL-разработчика. Чем предстоит заниматься: Проектирование, разработка объектов аналитического хранилища данных (АХД) на базе СУБД Greenplum; Проектирование, разработка потоков загрузки данных в АХД с использованием SAP Data Services, Apache NiFi, Apache Ariflow; Разработка представлений…";https://www.rabota.ru//vacancy/47805520/?search_id=1687311593199tbe2xmrv7bb
М Тех;Разработчик;"Нам, как растущей ИТ компании, нужны разработчики; Разработчики Java; Разработчики Fullstack; Android разработка; JavaScript разработка (Node/React/Angular/UI5) ·. NET (C#) Delphi; IOS разработка; PHP; Системная Python разработка; Знания: Опыт написания, рефакторинга и поддержания кода; Опыт проектирования…";https://www.rabota.ru//vacancy/47805456/?search_id=1687311593199tbe2xmrv7bb
М Тех;DevOps-инженер;"Сейчас мы находимся в поиске DevOps-инженера для поддержания архитектуры проекта и внедрения новых решений. Актуальный стек: Terraform+Terragrunt; Kubernetes+Helm; Prometheus; Loki; Jaeger+Kafka+Clickhouse; Grafana+PostgreSQL; Ansible; Gitlab; Vault+Consul; Nexus; Harbor; Обязанности: Развивать подход…";https://www.rabota.ru//vacancy/47805338/?search_id=1687311593199tbe2xmrv7bb
М Тех;Системный администратор (Администратор Linux);"Мы в поиске Инженера 2-й линии технической поддержки. Ты будешь заниматься: Администрирование, поддержка серверов с OC Linux. Мы знаем, что ты можешь: администрировать Linux сервера; расследовать аварии и устранять их причины; мониторить и диагностировать высоконагруженные системы; обеспечивать бесперебойную…";https://www.rabota.ru//vacancy/47959965/?search_id=1687311593199tbe2xmrv7bb
СБЕР;FullStack разработчик в управление исследований и инноваций Сбера;Мы ищем в команду FullStack разработчика для создания и поддержки MVP проектов лабораторий Сбера. Лаборатории генерируют инновационные идеи, а мы помогаем их «упаковать» или интегрировать с другими продуктами. Иногда необходимо написать API для сторонних разработчиков, иногда создать пользовательский…;https://www.rabota.ru//vacancy/47905716/?search_id=1687311593199tbe2xmrv7bb
СБЕР;Senior Data Engineer (Рекламная платформа);Мы - новая быстрорастущая команда, создающая сервис, который будет управлять цифровыми рекламными поверхностями и платформой по размещению рекламы на поверхностях Банка и Экосистемы. Используя данные СБЕРа и технологические решения его экосистемы, мы сможем реализовать уникальный сервис на рынке digital…;https://www.rabota.ru//vacancy/47906369/?search_id=1687311593199tbe2xmrv7bb
СБЕР;Data Engineer;Споры рождаются там, где нет данных. Команда Performance analytics обеспечивает единый источник данных для поддержки data driven принятия управленческих решений и сопровождает данными продукты блока Стратегии, реализованные на HR-платформе Сбера. Для этого мы: консолидируем данные о продуктах и сотрудниках…;https://www.rabota.ru//vacancy/47906704/?search_id=1687311593199tbe2xmrv7bb
СБЕР;Middle Data Analyst;PFM делает сервисы управления личными финансами: анализ финансов, бюджет, цели, конверты, автонакопления, всего средств и финансовые советы. Перед PFM стоит задача повышать финансовую грамотность клиентов и совершенствовать сервисы для ежедневного управления личными финансами. Аналитику предстоит участие…;https://www.rabota.ru//vacancy/47906707/?search_id=1687311593199tbe2xmrv7bb
СБЕР;Senior С++/Python Engineer в инфраструктуру поиска;Команда Intelligent Search создаёт поисковый сервис, который работает с запросами на естественном языке. На базе наших решений можно построить гибкий поиск для разных доменных областей: видео, музыка, фудтех и т.д. Наша цель – создать поисковую платформу, которой сможет воспользоваться каждый разработчик…;https://www.rabota.ru//vacancy/47913681/?search_id=1687311593199tbe2xmrv7bb
Ваш HR-партнер;Разработчик Python;Разрабатывать и поддерживать облачную платформу Автоматизировать процессы, связанные с жизненным циклом компонентов инфраструктуры Рабочий день: 5/2 с 9-00 до 18-00 Оформление на работу: ТК РФ Продолжительность испытательного срока: 3 месяца...;https://joblab.ru//vac10719553.html
"ООО ""Инфо Сфера""";Младший программист Python-бекенд программист;"- Разработка и поддержка веб-приложений на Python; - Работа с базами данных; - Участие в проектировании и разработке архитектуры приложения; - Написание unit-тестов; - Поддержка и развитие существующего кода. Мы - компания, которая занимается...";https://joblab.ru//vac10773708.html
"ООО ""Инфо Сфера""";Программист Python;- Разработка алгоритмов и скриптов для извлечения данных из различных источников. - Оптимизация и улучшение существующего кода - Тестирование и отладка программного обеспечения - Взаимодействие с командой разработчиков и менеджерами проектов Мы -...;https://joblab.ru//vac10773722.html
"ООО ""Инфо Сфера""";Программист нейронных сетей на Python;- Разработка и реализация нейронных сетей для решения различных задач в области машинного обучения и искусственного интеллекта. - Работа с библиотеками и фреймворками, такими как TensorFlow, PyTorch, Keras и другими. - Оптимизация существующих...;https://joblab.ru//vac10773735.html
"ООО ""Авитех""";Педагог по программированию Python;"Проведение занятий по программированию для детей; обеспечение сохранности количества детей в группах; участие в образовательных и массовых мероприятиях детского центра; разработка дополнительной программы/методичек, по которой будут обучаться дети; ...";https://joblab.ru//vac9640782.html
"ООО ""Авитех""";Педагог по программированию Python;"Проведение занятий по программированию для детей; обеспечение сохранности количества детей в группах; участие в образовательных и массовых мероприятиях детского центра; разработка дополнительной программы/методичек, по которой будут обучаться дети; ...";https://joblab.ru//vac10301296.html
